test_set,model,clip_id,episode_id,scene_id,frames,unmasked_frames,missing_frames,mask_ratio,shifted_distance,npss,full_l1,missing_l1
held_out_algorithmic,original,7,ep0008,scn0008,56,4,52,0.9285714285714286,2.558446021943257,2.346930371585338,0.06996681541204453,0.0753488764166832
held_out_algorithmic,prior_10k,7,ep0008,scn0008,56,4,52,0.9285714285714286,2.2691832667794722,2.2503575192484595,0.0720587894320488,0.07760177552700043
held_out_algorithmic,release,7,ep0008,scn0008,56,4,52,0.9285714285714286,2.269162922069944,2.25037631509461,0.07205794006586075,0.077600859105587
held_out_algorithmic,original,8,ep0009,scn0019,249,13,236,0.9477911646586346,0.4105429514669455,4.800654393933147,0.028508519753813744,0.030078906565904617
held_out_algorithmic,prior_10k,8,ep0009,scn0019,249,13,236,0.9477911646586346,0.15877368427239932,0.6263470906720456,0.005241935607045889,0.005530687049031258
held_out_algorithmic,release,8,ep0009,scn0019,249,13,236,0.9477911646586346,0.1587727452126833,0.6264386321368336,0.005241935607045889,0.005530686117708683
held_out_algorithmic,original,9,ep0010,scn0005,197,8,189,0.9593908629441624,0.43287690945446783,0.7572422258948296,0.021879514679312706,0.022805631160736084
held_out_algorithmic,prior_10k,9,ep0010,scn0005,197,8,189,0.9593908629441624,0.057908166459133034,0.038127873510103764,0.0015800819965079427,0.001646963763050735
held_out_algorithmic,release,9,ep0010,scn0005,197,8,189,0.9593908629441624,0.057907835997898005,0.03812919428911282,0.0015800795517861843,0.0016469612019136548
held_out_algorithmic,original,10,ep0010,scn0029,139,6,133,0.9568345323741008,0.32226105628313717,0.37359936340634936,0.009100641123950481,0.009511196985840797
held_out_algorithmic,prior_10k,10,ep0010,scn0029,139,6,133,0.9568345323741008,0.18472125771996026,0.16529708607719862,0.004766704980283976,0.004981744568794966
held_out_algorithmic,release,10,ep0010,scn0029,139,6,133,0.9568345323741008,0.18472196193008156,0.1653192264979018,0.0047667371109128,0.004981778096407652
held_out_algorithmic,original,11,ep0011,scn0005,138,5,133,0.9637681159420289,0.08176727244194518,0.023180581032958125,0.0010145026026293635,0.0010526417754590511
held_out_algorithmic,prior_10k,11,ep0011,scn0005,138,5,133,0.9637681159420289,0.10280184511174546,0.01661230649340926,0.0003915932320524007,0.0004063147644046694
held_out_algorithmic,release,11,ep0011,scn0005,138,5,133,0.9637681159420289,0.10280232659891142,0.016612296037794304,0.00039167111390270293,0.00040639558574184775
held_out_algorithmic,original,12,ep0011,scn0027,70,21,49,0.7,1.1154276172766524,1.7317846049768026,0.028200045228004456,0.04028577730059624
held_out_algorithmic,prior_10k,12,ep0011,scn0027,70,21,49,0.7,0.270425960588991,0.5701260651677527,0.027994710952043533,0.03999244421720505
held_out_algorithmic,release,12,ep0011,scn0027,70,21,49,0.7,0.27042349469795657,0.570150709657969,0.02799488976597786,0.03999269753694534
held_out_algorithmic,original,13,ep0011,scn0051,281,11,270,0.9608540925266904,0.3791014449349765,2.773493999854869,0.019862845540046692,0.020672069862484932
held_out_algorithmic,prior_10k,13,ep0011,scn0051,281,11,270,0.9608540925266904,0.06087087927193477,0.20043183345280713,0.0026429560966789722,0.002750632120296359
held_out_algorithmic,release,13,ep0011,scn0051,281,11,270,0.9608540925266904,0.06087196695393529,0.2004408416816125,0.0026429311838001013,0.0027506062760949135
held_out_algorithmic,original,14,ep0012,scn0012,56,4,52,0.9285714285714286,0.048860431745134554,0.01884139332409065,0.0010954395402222872,0.0011797042097896338
held_out_algorithmic,prior_10k,14,ep0012,scn0012,56,4,52,0.9285714285714286,0.046549079747035586,0.04218840741284535,0.0008137770346365869,0.0008763752994127572
held_out_algorithmic,release,14,ep0012,scn0012,56,4,52,0.9285714285714286,0.0465491259920186,0.04266046267778388,0.0008138242410495877,0.0008764261147007346
held_out_algorithmic,original,15,ep0013,scn0006,42,6,36,0.8571428571428571,0.9670798623043558,1.325173970752675,0.09597998112440109,0.11197663098573685
held_out_algorithmic,prior_10k,15,ep0013,scn0006,42,6,36,0.8571428571428571,0.22928012194840805,0.35233488607050795,0.03467738255858421,0.040456946939229965
held_out_algorithmic,release,15,ep0013,scn0006,42,6,36,0.8571428571428571,0.22928589064141977,0.35276712681952976,0.03467746451497078,0.04045704007148743
held_out_algorithmic,original,16,ep0013,scn0030,246,14,232,0.943089430894309,1.3737301171519036,9.86499669879169,0.0641232579946518,0.06799276918172836
held_out_algorithmic,prior_10k,16,ep0013,scn0030,246,14,232,0.943089430894309,0.286084248922592,0.7766097401418152,0.012343176640570164,0.013088024221360683
held_out_algorithmic,release,16,ep0013,scn0030,246,14,232,0.943089430894309,0.28608648259510366,0.7739397481618343,0.012343654409050941,0.013088528998196125
held_out_algorithmic,original,17,ep0014,scn0013,144,11,133,0.9236111111111112,0.5486563233768239,0.4592648336865353,0.016799960285425186,0.018189430236816406
held_out_algorithmic,prior_10k,17,ep0014,scn0013,144,11,133,0.9236111111111112,0.10395001430137485,0.19657466602080448,0.004665700253099203,0.005051584914326668
held_out_algorithmic,release,17,ep0014,scn0013,144,11,133,0.9236111111111112,0.10395127866003248,0.19629812861175247,0.004666070453822613,0.0050519853830337524
held_out_algorithmic,original,18,ep0014,scn0042,92,27,65,0.7065217391304348,0.6844875435543876,1.1713499040598983,0.012095017358660698,0.01711910031735897
held_out_algorithmic,prior_10k,18,ep0014,scn0042,92,27,65,0.7065217391304348,0.5038531303214722,0.5650409892508473,0.014439095743000507,0.02043687179684639
held_out_algorithmic,release,18,ep0014,scn0042,92,27,65,0.7065217391304348,0.5038537550876793,0.5649670332615764,0.014439284801483154,0.020437141880393028
held_out_algorithmic,original,19,ep0017,scn0016,263,6,257,0.9771863117870723,0.38411565800284625,1.7845142763749937,0.0072335232980549335,0.007402400951832533
held_out_algorithmic,prior_10k,19,ep0017,scn0016,263,6,257,0.9771863117870723,0.07299652606360475,0.1884764159829388,0.0017166563775390387,0.0017567339818924665
held_out_algorithmic,release,19,ep0017,scn0016,263,6,257,0.9771863117870723,0.07299627704120307,0.189323279865949,0.0017167901387438178,0.001756870886310935
held_out_algorithmic,original,20,ep0017,scn0018,68,6,62,0.9117647058823529,0.18124308437108994,1.4354043337400666,0.02675079181790352,0.029339581727981567
held_out_algorithmic,prior_10k,20,ep0017,scn0018,68,6,62,0.9117647058823529,0.08606841994656457,0.23881700541121267,0.007912516593933105,0.00867824349552393
held_out_algorithmic,release,20,ep0017,scn0018,68,6,62,0.9117647058823529,0.08607072879870732,0.23880504948270737,0.007912530563771725,0.008678260259330273
held_out_algorithmic,original,21,ep0017,scn0047,162,16,146,0.9012345679012346,0.04102737143297087,0.0024432099310747186,0.0006497295689769089,0.0007209327886812389
held_out_algorithmic,prior_10k,21,ep0017,scn0047,162,16,146,0.9012345679012346,0.0438462154601108,0.00191084032477552,0.0006217199261300266,0.0006898536230437458
held_out_algorithmic,release,21,ep0017,scn0047,162,16,146,0.9012345679012346,0.04384628767994317,0.0019108104458859946,0.0006216628826223314,0.0006897902931086719
held_out_algorithmic,original,22,ep0022,scn0008,140,5,135,0.9642857142857143,0.12259245085549521,0.14385823779927545,0.0017366294050589204,0.0018009488703683019
held_out_algorithmic,prior_10k,22,ep0022,scn0008,140,5,135,0.9642857142857143,0.09928039237335845,0.2015713810219409,0.0012403252767398953,0.0012862632283940911
held_out_algorithmic,release,22,ep0022,scn0008,140,5,135,0.9642857142857143,0.09928077250927478,0.20937380483360182,0.001240389421582222,0.0012863297015428543
held_out_algorithmic,original,23,ep0022,scn0011,133,8,125,0.9398496240601504,1.0842190689320186,3.172714891740876,0.036768704652786255,0.039121899753808975
held_out_algorithmic,prior_10k,23,ep0022,scn0011,133,8,125,0.9398496240601504,0.20496262550997218,1.1295356350804584,0.010373560711741447,0.01103746797889471
held_out_algorithmic,release,23,ep0022,scn0011,133,8,125,0.9398496240601504,0.20496581098158584,1.1295588915443344,0.01037359144538641,0.011037500575184822
held_out_algorithmic,original,24,ep0022,scn0026,105,6,99,0.9428571428571428,0.37154417191076716,0.037981986628158416,0.0012486046180129051,0.001324277720414102
held_out_algorithmic,prior_10k,24,ep0022,scn0026,105,6,99,0.9428571428571428,0.441719971118717,0.1824346436688266,0.001379825989715755,0.0014634518884122372
held_out_algorithmic,release,24,ep0022,scn0026,105,6,99,0.9428571428571428,0.44174272942980497,0.18408079815483475,0.0013800233136862516,0.0014636610867455602
held_out_algorithmic,original,25,ep0028,scn0014,279,22,257,0.921146953405018,0.5901936022782804,1.724979566338781,0.025169486179947853,0.027324071153998375
held_out_algorithmic,prior_10k,25,ep0028,scn0014,279,22,257,0.921146953405018,0.05694137007795449,0.1959631776713401,0.007764129433780909,0.008428764529526234
held_out_algorithmic,release,25,ep0028,scn0014,279,22,257,0.921146953405018,0.0569385392311026,0.19628644199372816,0.007764053996652365,0.008428681641817093
held_out_algorithmic,original,26,ep0029,scn0045,292,17,275,0.9417808219178082,1.427254511983853,6.277336428683511,0.05125027149915695,0.05441847816109657
held_out_algorithmic,prior_10k,26,ep0029,scn0045,292,17,275,0.9417808219178082,0.2017154050342502,0.7773982573653585,0.006865601986646652,0.00729002058506012
held_out_algorithmic,release,26,ep0029,scn0045,292,17,275,0.9417808219178082,0.20171967098498506,0.7774025288131861,0.006865732837468386,0.007290160283446312
held_out_algorithmic,original,27,ep0031,scn0020,102,8,94,0.9215686274509803,0.21272206844555008,0.0726070800986951,0.003127899719402194,0.0033941040746867657
held_out_algorithmic,prior_10k,27,ep0031,scn0020,102,8,94,0.9215686274509803,0.19819508189404453,0.13691990953043415,0.004386806394904852,0.004760151728987694
held_out_algorithmic,release,27,ep0031,scn0020,102,8,94,0.9215686274509803,0.19820164999476186,0.13692762296097458,0.004386947024613619,0.004760304000228643
held_out_algorithmic,original,28,ep0031,scn0035,100,10,90,0.9,0.3572644392649333,0.7365788845032173,0.011723006144165993,0.013025561347603798
held_out_algorithmic,prior_10k,28,ep0031,scn0035,100,10,90,0.9,0.10066350076414421,0.13401821804604996,0.00439875852316618,0.004887509625405073
held_out_algorithmic,release,28,ep0031,scn0035,100,10,90,0.9,0.10067329063234932,0.13400512701581094,0.004398660268634558,0.004887400195002556
held_out_algorithmic,original,29,ep0032,scn0017b,780,167,613,0.7858974358974359,1.0422695982550818,7.283129640075533,0.011925434693694115,0.015174288302659988
held_out_algorithmic,prior_10k,29,ep0032,scn0017b,780,167,613,0.7858974358974359,0.5317461800645106,3.9650869697287368,0.006433078087866306,0.008185645565390587
held_out_algorithmic,release,29,ep0032,scn0017b,780,167,613,0.7858974358974359,0.5317406802762191,3.9650806553468496,0.006433232221752405,0.00818584207445383
held_out_algorithmic,original,30,ep0032,scn0022,52,5,47,0.9038461538461539,0.48061185316606003,0.45790296194890073,0.011588177643716335,0.012820961885154247
held_out_algorithmic,prior_10k,30,ep0032,scn0022,52,5,47,0.9038461538461539,0.08384502801028165,0.10536129064251677,0.0025648640003055334,0.0028377219568938017
held_out_algorithmic,release,30,ep0032,scn0022,52,5,47,0.9038461538461539,0.08384501283819025,0.1053572221497127,0.002564941765740514,0.00283780787140131
held_out_algorithmic,original,31,ep0033,scn0045,95,4,91,0.9578947368421052,0.07557144853257641,0.15276199833477197,0.004760652780532837,0.004969911649823189
held_out_algorithmic,prior_10k,31,ep0033,scn0045,95,4,91,0.9578947368421052,0.04219492809059694,0.08776704884584736,0.0015015401877462864,0.001567541970871389
held_out_algorithmic,release,31,ep0033,scn0045,95,4,91,0.9578947368421052,0.042194534822837595,0.08777435636718973,0.0015016046818345785,0.001567609142512083
held_out_algorithmic,original,32,ep0035,scn0013,151,4,147,0.9735099337748344,0.5018357650127286,0.2947416063478853,0.010500817559659481,0.010786554776132107
held_out_algorithmic,prior_10k,32,ep0035,scn0013,151,4,147,0.9735099337748344,0.25034091607028364,0.042203416428274694,0.0016837520524859428,0.0017295683501288295
held_out_algorithmic,release,32,ep0035,scn0013,151,4,147,0.9735099337748344,0.2503403856668597,0.04220399632417286,0.0016837482107803226,0.0017295645084232092
held_out_algorithmic,original,33,ep0035,scn0040,66,11,55,0.8333333333333334,0.13756347139676411,0.2120981851845659,0.007176557090133429,0.008611869066953659
held_out_algorithmic,prior_10k,33,ep0035,scn0040,66,11,55,0.8333333333333334,0.0962403110663096,0.1981267540709767,0.006784284487366676,0.008141141384840012
held_out_algorithmic,release,33,ep0035,scn0040,66,11,55,0.8333333333333334,0.0962564637263616,0.19815848768334346,0.006784379016608,0.00814125407487154
held_out_algorithmic,original,34,ep0036,scn0039,147,21,126,0.8571428571428571,0.47794026531368855,0.9063715866553612,0.0200051162391901,0.023339303210377693
held_out_algorithmic,prior_10k,34,ep0036,scn0039,147,21,126,0.8571428571428571,0.2133289345775742,0.4901396389506373,0.011355713941156864,0.01324833370745182
held_out_algorithmic,release,34,ep0036,scn0039,147,21,126,0.8571428571428571,0.21332927586802516,0.4964155233682069,0.011355755850672722,0.0132483821362257
held_out_algorithmic,original,35,ep0036,scn0066,143,18,125,0.8741258741258742,0.5192049059477992,3.2694464172370883,0.022361841052770615,0.025581946596503258
held_out_algorithmic,prior_10k,35,ep0036,scn0066,143,18,125,0.8741258741258742,0.4958246204088319,0.6712224432297982,0.008957580663263798,0.010247473604977131
held_out_algorithmic,release,35,ep0036,scn0066,143,18,125,0.8741258741258742,0.49580578196723507,0.6705891335132814,0.00895754899829626,0.010247437283396721
held_out_algorithmic,original,36,ep0041,scn0001,461,61,400,0.8676789587852495,0.48344723628117486,2.1261709335930696,0.017959903925657272,0.0206987913697958
held_out_algorithmic,prior_10k,36,ep0041,scn0001,461,61,400,0.8676789587852495,0.2536092236638069,1.0731214425613154,0.007968527264893055,0.009183727204799652
held_out_algorithmic,release,36,ep0041,scn0001,461,61,400,0.8676789587852495,0.2536078222669088,1.0722406838536758,0.007968508638441563,0.009183705784380436
held_out_algorithmic,original,37,ep0041,scn0003,265,14,251,0.9471698113207547,0.4069783052812845,1.5932219102110403,0.01853932999074459,0.01957339607179165
held_out_algorithmic,prior_10k,37,ep0041,scn0003,265,14,251,0.9471698113207547,0.13878386088441855,0.19982068346549858,0.004066918045282364,0.004293758422136307
held_out_algorithmic,release,37,ep0041,scn0003,265,14,251,0.9471698113207547,0.13878489363709942,0.2012997086396313,0.004066890105605125,0.004293728619813919
held_out_algorithmic,original,38,ep0041,scn0043,151,21,130,0.8609271523178808,0.32240829853450553,0.376674628778024,0.007869483903050423,0.009140707552433014
held_out_algorithmic,prior_10k,38,ep0041,scn0043,151,21,130,0.8609271523178808,0.3538956777137868,0.8751856703100265,0.009506946429610252,0.011042685247957706
